ticker,quarter,cov_pct
T,2021Q3,62.5
T,2021Q4,50.0
T,2022Q1,67.5
T,2022Q2,82.5
T,2022Q3,62.5
T,2022Q4,50.0
T,2023Q1,62.0
T,2023Q2,72.0
T,2023Q3,28.0
T,2023Q4,42.0
T,2024Q1,40.0
T,2024Q2,16.0
T,2024Q3,48.0
T,2024Q4,48.0
T,2025Q1,36.0
T,2025Q2,32.0
T,2025Q3,74.0
DIS,2019Q1,10.0
DIS,2019Q2,10.0
DIS,2019Q3,60.0
DIS,2019Q4,60.0
DIS,2020Q1,50.0
DIS,2020Q2,25.0
DIS,2020Q3,25.0
DIS,2020Q4,35.0
DIS,2021Q1,50.0
DIS,2021Q2,53.3
DIS,2021Q3,17.5
DIS,2021Q4,35.0
DIS,2022Q1,70.0
DIS,2022Q2,10.0
DIS,2022Q3,22.5
DIS,2022Q4,10.0
DIS,2023Q1,54.0
DIS,2023Q2,40.0
DIS,2023Q3,50.0
DIS,2023Q4,60.0
DIS,2024Q1,58.0
DIS,2024Q2,10.0
DIS,2024Q3,20.0
DIS,2024Q4,30.0
DIS,2025Q1,48.0
DIS,2025Q2,10.0
DIS,2025Q3,10.0
VZ,2023Q1,28.0
VZ,2023Q2,28.0
VZ,2023Q3,22.0
VZ,2023Q4,28.0
VZ,2024Q1,72.0
VZ,2024Q2,64.0
VZ,2024Q3,78.0
VZ,2024Q4,74.0
VZ,2025Q1,36.0
VZ,2025Q2,68.0
VZ,2025Q3,48.0
TMUS,2019Q1,50.0
TMUS,2019Q2,50.0
TMUS,2019Q3,50.0
TMUS,2019Q4,25.0
TMUS,2020Q1,60.0
TMUS,2020Q2,60.0
TMUS,2020Q3,60.0
TMUS,2020Q4,75.0
TMUS,2021Q1,60.0
TMUS,2021Q2,80.0
TMUS,2021Q3,82.5
TMUS,2021Q4,32.5
TMUS,2022Q1,37.5
TMUS,2022Q2,42.5
TMUS,2022Q3,82.5
TMUS,2022Q4,57.5
TMUS,2023Q1,66.0
TMUS,2023Q2,38.0
TMUS,2023Q3,78.0
TMUS,2023Q4,60.0
TMUS,2024Q1,44.0
TMUS,2024Q2,28.0
TMUS,2024Q3,62.0
TMUS,2024Q4,80.0
TMUS,2025Q1,84.0
TMUS,2025Q2,64.0
TMUS,2025Q3,90.0
CMCSA,2017Q4,50.0
CMCSA,2018Q1,50.0
CMCSA,2018Q2,50.0
CMCSA,2018Q3,50.0
CMCSA,2018Q4,50.0
CMCSA,2019Q1,65.0
CMCSA,2019Q2,75.0
CMCSA,2019Q3,40.0
CMCSA,2019Q4,65.0
CMCSA,2020Q1,40.0
CMCSA,2020Q2,65.0
CMCSA,2020Q3,65.0
CMCSA,2020Q4,40.0
CMCSA,2021Q1,40.0
CMCSA,2021Q2,40.0
CMCSA,2021Q3,65.0
CMCSA,2021Q4,40.0
CMCSA,2022Q1,40.0
CMCSA,2022Q2,40.0
CMCSA,2022Q3,40.0
CMCSA,2022Q4,82.5
CMCSA,2023Q1,70.0
CMCSA,2023Q2,68.0
CMCSA,2023Q3,28.0
CMCSA,2023Q4,48.0
CMCSA,2024Q1,40.0
CMCSA,2024Q2,84.0
CMCSA,2024Q3,60.0
CMCSA,2024Q4,16.0
CMCSA,2025Q1,44.0
CMCSA,2025Q2,44.0
CMCSA,2025Q3,52.0
DASH,2021Q2,10.0
DASH,2021Q3,10.0
DASH,2021Q4,67.5
DASH,2022Q1,22.5
DASH,2022Q2,42.5
DASH,2022Q3,30.0
DASH,2022Q4,17.5
DASH,2023Q1,20.0
DASH,2023Q2,26.0
DASH,2023Q3,46.0
DASH,2023Q4,16.0
DASH,2024Q1,26.0
DASH,2024Q2,52.0
DASH,2024Q3,16.0
DASH,2024Q4,22.0
DASH,2025Q1,10.0
DASH,2025Q2,50.0
DASH,2025Q3,10.0
