ticker,quarter,ev_usd
T,2017Q3,
T,2017Q4,
T,2018Q1,
T,2018Q2,
T,2018Q3,
T,2018Q4,
T,2019Q1,
T,2019Q2,
T,2019Q3,
T,2019Q4,
T,2020Q1,
T,2020Q2,
T,2020Q3,
T,2020Q4,
T,2021Q1,
T,2021Q2,
T,2021Q3,
T,2021Q4,
T,2022Q1,
T,2022Q2,
T,2022Q3,
T,2022Q4,
T,2023Q1,
T,2023Q2,
T,2023Q3,
T,2023Q4,
T,2024Q1,116557565215.06445
T,2024Q2,273696924911.11133
T,2024Q3,294429756073.6084
T,2024Q4,295684829627.02734
T,2025Q1,335588721169.8076
T,2025Q2,348140766193.09766
T,2025Q3,206789148627.1311
DIS,2017Q3,
DIS,2017Q4,
DIS,2018Q1,
DIS,2018Q2,
DIS,2018Q3,
DIS,2018Q4,
DIS,2019Q1,
DIS,2019Q2,
DIS,2019Q3,
DIS,2019Q4,
DIS,2020Q1,
DIS,2020Q2,
DIS,2020Q3,
DIS,2020Q4,
DIS,2021Q1,
DIS,2021Q2,
DIS,2021Q3,
DIS,2021Q4,
DIS,2022Q1,
DIS,2022Q2,
DIS,2022Q3,
DIS,2022Q4,
DIS,2023Q1,
DIS,2023Q2,
DIS,2023Q3,
DIS,2023Q4,
DIS,2024Q1,221484143791.54102
DIS,2024Q2,220251813037.10938
DIS,2024Q3,215839542796.04297
DIS,2024Q4,240613913715.15332
DIS,2025Q1,214708207979.88965
DIS,2025Q2,259834983324.56836
DIS,2025Q3,202375427852.9931
VZ,2017Q3,
VZ,2017Q4,
VZ,2018Q1,
VZ,2018Q2,
VZ,2018Q3,
VZ,2018Q4,
VZ,2019Q1,
VZ,2019Q2,
VZ,2019Q3,
VZ,2019Q4,
VZ,2020Q1,
VZ,2020Q2,
VZ,2020Q3,
VZ,2020Q4,
VZ,2021Q1,
VZ,2021Q2,
VZ,2021Q3,
VZ,2021Q4,
VZ,2022Q1,
VZ,2022Q2,
VZ,2022Q3,
VZ,2022Q4,
VZ,2023Q1,
VZ,2023Q2,
VZ,2023Q3,
VZ,2023Q4,
VZ,2024Q1,160269040766.25
VZ,2024Q2,330589276592.8994
VZ,2024Q3,346360116655.48047
VZ,2024Q4,324369831192.4717
VZ,2025Q1,350400110674.2871
VZ,2025Q2,345990242306.5117
VZ,2025Q3,182771783889.42853
SPOT,2018Q2,
SPOT,2018Q3,
SPOT,2018Q4,
SPOT,2019Q1,
SPOT,2019Q2,
SPOT,2019Q3,
SPOT,2019Q4,
SPOT,2020Q1,
SPOT,2020Q2,
SPOT,2020Q3,
SPOT,2020Q4,
SPOT,2021Q1,
SPOT,2021Q2,
SPOT,2021Q3,
SPOT,2021Q4,
SPOT,2022Q1,
SPOT,2022Q2,
SPOT,2022Q3,
SPOT,2022Q4,
SPOT,2023Q1,
SPOT,2023Q2,
SPOT,2023Q3,
SPOT,2023Q4,
SPOT,2024Q1,52338496200.70801
SPOT,2024Q2,60680372333.92334
SPOT,2024Q3,71236282496.1875
SPOT,2024Q4,87626107585.7539
SPOT,2025Q1,109678001607.51562
SPOT,2025Q2,155647556624.6338
SPOT,2025Q3,151973055859.97534
TMUS,2017Q3,
TMUS,2017Q4,
TMUS,2018Q1,
TMUS,2018Q2,
