source,ticker,title,url,published_at,source_name,language,pulled_at,raw
gdelt,,CERo Therapeutics Announces Dose Intensification in Phase 1,https://www.globenewswire.com/news-release/2025/09/08/3146118/0/en/CERo-Therapeutics-Announces-Dose-Intensification-in-Phase-1-Study-of-CER-1236-in-Acute-Myeloid-Leukemia.html,20250908T131500Z,globenewswire.com,English,2025-09-08T13:46:00.603691+00:00,"{""url"": ""https://www.globenewswire.com/news-release/2025/09/08/3146118/0/en/CERo-Therapeutics-Announces-Dose-Intensification-in-Phase-1-Study-of-CER-1236-in-Acute-Myeloid-Leukemia.html"", ""url_mobile"": """", ""title"": ""CERo Therapeutics Announces Dose Intensification in Phase 1"", ""seendate"": ""20250908T131500Z"", ""socialimage"": ""https://ml.globenewswire.com/Resource/Download/07b74fdb-aa54-4c33-8241-82c752b24d3e"", ""domain"": ""globenewswire.com"", ""language"": ""English"", ""sourcecountry"": ""United States""}"
gdelt,,Nuclear Power Industry Veteran Ralph Hunter Joins Board of Directors of ASP Isotopes Inc . and Board of Managers of Quantum Leap Energy LLC,https://www.manilatimes.net/2025/09/08/tmt-newswire/globenewswire/nuclear-power-industry-veteran-ralph-hunter-joins-board-of-directors-of-asp-isotopes-inc-and-board-of-managers-of-quantum-leap-energy-llc/2180674,20250908T130000Z,manilatimes.net,English,2025-09-08T13:46:00.603707+00:00,"{""url"": ""https://www.manilatimes.net/2025/09/08/tmt-newswire/globenewswire/nuclear-power-industry-veteran-ralph-hunter-joins-board-of-directors-of-asp-isotopes-inc-and-board-of-managers-of-quantum-leap-energy-llc/2180674"", ""url_mobile"": ""https://www.manilatimes.net/2025/09/08/tmt-newswire/globenewswire/nuclear-power-industry-veteran-ralph-hunter-joins-board-of-directors-of-asp-isotopes-inc-and-board-of-managers-of-quantum-leap-energy-llc/2180674/amp"", ""title"": ""Nuclear Power Industry Veteran Ralph Hunter Joins Board of Directors of ASP Isotopes Inc . and Board of Managers of Quantum Leap Energy LLC"", ""seendate"": ""20250908T130000Z"", ""socialimage"": ""https://www.manilatimes.net/manilatimes/uploads/images/2025/09/08/740062.png"", ""domain"": ""manilatimes.net"", ""language"": ""English"", ""sourcecountry"": ""Philippines""}"
gdelt,,Real - world evidence supports clinical effectiveness of the,https://www.globenewswire.com/news-release/2025/09/08/3146071/0/en/Real-world-evidence-supports-clinical-effectiveness-of-the-neffy-nasal-adrenaline-spray.html,20250908T124500Z,globenewswire.com,English,2025-09-08T13:46:00.603715+00:00,"{""url"": ""https://www.globenewswire.com/news-release/2025/09/08/3146071/0/en/Real-world-evidence-supports-clinical-effectiveness-of-the-neffy-nasal-adrenaline-spray.html"", ""url_mobile"": """", ""title"": ""Real - world evidence supports clinical effectiveness of the"", ""seendate"": ""20250908T124500Z"", ""socialimage"": ""https://ml-eu.globenewswire.com/Resource/Download/a99754b1-1efc-4405-babb-7e13df7a8ef7"", ""domain"": ""globenewswire.com"", ""language"": ""English"", ""sourcecountry"": ""United States""}"
gdelt,,NZ - AU : IREN August 2025 Monthly Update,https://livenews.co.nz/2025/09/08/nz-au-iren-august-2025-monthly-update/,20250908T124500Z,livenews.co.nz,English,2025-09-08T13:46:00.603719+00:00,"{""url"": ""https://livenews.co.nz/2025/09/08/nz-au-iren-august-2025-monthly-update/"", ""url_mobile"": """", ""title"": ""NZ - AU : IREN August 2025 Monthly Update"", ""seendate"": ""20250908T124500Z"", ""socialimage"": """", ""domain"": ""livenews.co.nz"", ""language"": ""English"", ""sourcecountry"": ""New Zealand""}"
gdelt,,"HOPE Therapeutics , Inc . and NRx Pharmaceuticals , Inc . ( NASDAQ : NRXP ) Complete the Acquisition of Dura Medical ; Initial Acquisition in Network of Interventional Psychiatry Clinics",https://www.marketscreener.com/news/hope-therapeutics-inc-and-nrx-pharmaceuticals-inc-nasdaq-nrxp-complete-the-acquisition-of-dura-ce7d59dedf88f221,20250908T124500Z,marketscreener.com,English,2025-09-08T13:46:00.603721+00:00,"{""url"": ""https://www.marketscreener.com/news/hope-therapeutics-inc-and-nrx-pharmaceuticals-inc-nasdaq-nrxp-complete-the-acquisition-of-dura-ce7d59dedf88f221"", ""url_mobile"": """", ""title"": ""HOPE Therapeutics , Inc . and NRx Pharmaceuticals , Inc . ( NASDAQ : NRXP ) Complete the Acquisition of Dura Medical ; Initial Acquisition in Network of Interventional Psychiatry Clinics"", ""seendate"": ""20250908T124500Z"", ""socialimage"": ""https://www.marketscreener.com/images/twitter_MS_fdblanc.png"", ""domain"": ""marketscreener.com"", ""language"": ""English"", ""sourcecountry"": """"}"
gdelt,,Biodexa Moves Into Phase 3 With eRapa For FAP With First Patients Enrolled,http://www.tennesseedaily.com/news/278560395/biodexa-moves-into-phase-3-with-erapa-for-fap-with-first-patients-enrolled,20250908T123000Z,tennesseedaily.com,English,2025-09-08T13:46:00.603724+00:00,"{""url"": ""http://www.tennesseedaily.com/news/278560395/biodexa-moves-into-phase-3-with-erapa-for-fap-with-first-patients-enrolled"", ""url_mobile"": """", ""title"": ""Biodexa Moves Into Phase 3 With eRapa For FAP With First Patients Enrolled"", ""seendate"": ""20250908T123000Z"", ""socialimage"": """", ""domain"": ""tennesseedaily.com"", ""language"": ""English"", ""sourcecountry"": ""United States""}"
gdelt,,Bitcoin Bancorp ( OTC : BULT ) Retained by NASDAQ - Listed Sadot,https://www.globenewswire.com/news-release/2025/09/08/3146003/0/en/Bitcoin-Bancorp-OTC-BULT-Retained-by-NASDAQ-Listed-Sadot-Group-NASDAQ-SDOT-to-Develop-Institutional-Bitcoin-Treasury-Strategy.html,20250908T113000Z,globenewswire.com,English,2025-09-08T13:46:00.603727+00:00,"{""url"": ""https://www.globenewswire.com/news-release/2025/09/08/3146003/0/en/Bitcoin-Bancorp-OTC-BULT-Retained-by-NASDAQ-Listed-Sadot-Group-NASDAQ-SDOT-to-Develop-Institutional-Bitcoin-Treasury-Strategy.html"", ""url_mobile"": """", ""title"": ""Bitcoin Bancorp ( OTC : BULT ) Retained by NASDAQ - Listed Sadot"", ""seendate"": ""20250908T113000Z"", ""socialimage"": ""https://ml.globenewswire.com/Resource/Download/5a65d0ea-1a50-4b21-b79f-f9b6c3bc492a"", ""domain"": ""globenewswire.com"", ""language"": ""English"", ""sourcecountry"": ""United States""}"
gdelt,,"Motorola : welcomes CRFS Limited and CRFS , Inc . ",https://www.marketscreener.com/news/motorola-welcomes-crfs-limited-and-crfs-inc-ce7d59dedc8af325,20250908T113000Z,marketscreener.com,English,2025-09-08T13:46:00.603732+00:00,"{""url"": ""https://www.marketscreener.com/news/motorola-welcomes-crfs-limited-and-crfs-inc-ce7d59dedc8af325"", ""url_mobile"": """", ""title"": ""Motorola : welcomes CRFS Limited and CRFS , Inc . "", ""seendate"": ""20250908T113000Z"", ""socialimage"": ""https://www.marketscreener.com/images/twitter_MS_fdblanc.png"", ""domain"": ""marketscreener.com"", ""language"": ""English"", ""sourcecountry"": """"}"
gdelt,,"Lavras Gold Corp . Intersects 1 . 1 g / t Gold over 228 Metres at the LDS Project , Southern Brazil",https://www.finanznachrichten.de/nachrichten-2025-09/66377902-lavras-gold-corp-intersects-1-1-g-t-gold-over-228-metres-at-the-lds-project-southern-brazil-296.htm,20250908T111500Z,finanznachrichten.de,English,2025-09-08T13:46:00.603734+00:00,"{""url"": ""https://www.finanznachrichten.de/nachrichten-2025-09/66377902-lavras-gold-corp-intersects-1-1-g-t-gold-over-228-metres-at-the-lds-project-southern-brazil-296.htm"", ""url_mobile"": """", ""title"": ""Lavras Gold Corp . Intersects 1 . 1 g / t Gold over 228 Metres at the LDS Project , Southern Brazil"", ""seendate"": ""20250908T111500Z"", ""socialimage"": ""https://api.newsfilecorp.com/newsinfo/265446/157/"", ""domain"": ""finanznachrichten.de"", ""language"": ""English"", ""sourcecountry"": ""Germany""}"
gdelt,,Radisson Mining Resources : Radisson Continues to Expand Scope of Gold Mineralization at OBrien with Latest Drill Results,https://www.finanznachrichten.de/nachrichten-2025-09/66377901-radisson-mining-resources-radisson-continues-to-expand-scope-of-gold-mineralization-at-o-brien-with-latest-drill-results-296.htm,20250908T111500Z,finanznachrichten.de,English,2025-09-08T13:46:00.603737+00:00,"{""url"": ""https://www.finanznachrichten.de/nachrichten-2025-09/66377901-radisson-mining-resources-radisson-continues-to-expand-scope-of-gold-mineralization-at-o-brien-with-latest-drill-results-296.htm"", ""url_mobile"": """", ""title"": ""Radisson Mining Resources : Radisson Continues to Expand Scope of Gold Mineralization at OBrien with Latest Drill Results"", ""seendate"": ""20250908T111500Z"", ""socialimage"": ""https://www.finanznachrichten.de/chart-radisson-mining-resources-inc-aktie-intraklein-frankfurt.png"", ""domain"": ""finanznachrichten.de"", ""language"": ""English"", ""sourcecountry"": ""Germany""}"
